"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","WEALTHQUINTILE (CODE)","WEALTHQUINTILE (DISPLAY)","WEALTHQUINTILE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1999","1999","","AFR","Africa","","NGA","Nigeria","","WQ1","Q1 (Poorest)","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1999","1999","","AFR","Africa","","NGA","Nigeria","","WQ2","Q2","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","NGA","Nigeria","","WQ1","Q1 (Poorest)","","3.6 [2.4-5.3]","3.58410","2.42939","5.25809","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","NGA","Nigeria","","WQ2","Q2","","2.9 [1.9-4.4]","2.86626","1.86703","4.37641","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","NGA","Nigeria","","WQ2","Q2","","26.6 [20.4-34.0]","26.60702","20.35139","33.96550","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2007","2007","","AFR","Africa","","NGA","Nigeria","","WQ2","Q2","","3.4 [2.6-4.4]","3.37582","2.58940","4.39032","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2007","2007","","AFR","Africa","","NGA","Nigeria","","WQ3","Q3","","6.2 [5.0-7.7]","6.21372","4.99504","7.70561","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","PAK","Pakistan","","WQ5","Q5 (Richest)","","45.8 [42.7-48.9]","45.81172","42.72665","48.92925","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2013","2013","","AMR","Americas","","PAN","Panama","","WQ5","Q5 (Richest)","","66.5 [60.5-72.1]","66.53106","60.47943","72.08377","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1996","1996","","AMR","Americas","","PER","Peru","","WQ3","Q3","","69.5 [67.6-71.4]","69.52936","67.61776","71.37587","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","PER","Peru","","WQ3","Q3","","72.8 [71.0-74.6]","72.80977","70.95231","74.59098","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","PER","Peru","","WQ4","Q4","","74.2 [72.0-76.3]","74.22365","71.98962","76.33807","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AMR","Americas","","PER","Peru","","WQ5","Q5 (Richest)","","93.1 [91.4-94.6]","93.13411","91.37673","94.55469","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2004","2004","","AMR","Americas","","PER","Peru","","WQ1","Q1 (Poorest)","","56.0 [50.2-61.6]","55.97724","50.21389","61.58384","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2004","2004","","AMR","Americas","","PER","Peru","","WQ4","Q4","","76.6 [72.5-80.2]","76.56056","72.46118","80.21632","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AMR","Americas","","PER","Peru","","WQ1","Q1 (Poorest)","","60.7 [56.2-65.0]","60.65461","56.15994","64.97586","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AMR","Americas","","PER","Peru","","WQ2","Q2","","69.4 [65.8-72.7]","69.39336","65.83611","72.73361","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AMR","Americas","","PER","Peru","","WQ3","Q3","","92.5 [89.7-94.5]","92.45245","89.72112","94.50249","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AMR","Americas","","PER","Peru","","WQ4","Q4","","94.7 [91.8-96.6]","94.68294","91.76225","96.60640","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","PER","Peru","","WQ4","Q4","","54.7 [50.1-59.3]","54.71709","50.05687","59.29605","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","PER","Peru","","WQ2","Q2","","73.0 [69.6-76.1]","73.00255","69.64518","76.11592","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","PER","Peru","","WQ4","Q4","","93.6 [90.3-95.8]","93.59364","90.34267","95.80109","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","PER","Peru","","WQ5","Q5 (Richest)","","91.3 [85.1-95.1]","91.33879","85.05029","95.13343","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AMR","Americas","","PER","Peru","","WQ4","Q4","","53.2 [48.2-58.2]","53.23833","48.21386","58.19796","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AMR","Americas","","PER","Peru","","WQ5","Q5 (Richest)","","51.4 [47.0-55.9]","51.44766","46.98265","55.88968","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AMR","Americas","","PER","Peru","","WQ1","Q1 (Poorest)","","83.3 [77.4-87.9]","83.31962","77.41863","87.91919","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","AMR","Americas","","PER","Peru","","WQ2","Q2","","89.4 [86.2-91.9]","89.35807","86.17288","91.87867","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","PER","Peru","","WQ1","Q1 (Poorest)","","36.0 [30.8-41.6]","36.04385","30.83662","41.60148","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","PER","Peru","","WQ2","Q2","","41.5 [38.4-44.6]","41.46434","38.42022","44.57507","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","PER","Peru","","WQ2","Q2","","89.3 [87.6-90.8]","89.29124","87.63080","90.75232","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","PER","Peru","","WQ3","Q3","","89.1 [87.2-90.8]","89.14458","87.20674","90.81979","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2009","2009","","AMR","Americas","","PER","Peru","","WQ2","Q2","","45.8 [43.7-47.9]","45.76221","43.66896","47.87053","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2009","2009","","AMR","Americas","","PER","Peru","","WQ3","Q3","","52.5 [50.2-54.8]","52.47824","50.15367","54.79212","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","PER","Peru","","WQ1","Q1 (Poorest)","","42.0 [39.6-44.4]","42.00272","39.60570","44.43806","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","WPR","Western Pacific","","PHL","Philippines","","WQ5","Q5 (Richest)","","50.6 [47.7-53.4]","50.56296","47.74340","53.37895","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2013","2013","","WPR","Western Pacific","","PHL","Philippines","","WQ3","Q3","","59.6 [57.2-62.0]","59.62106","57.21668","61.98010","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2013","2013","","WPR","Western Pacific","","PHL","Philippines","","WQ4","Q4","","57.1 [54.7-59.4]","57.05669","54.67307","59.40803","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","MDA","Republic of Moldova","","WQ1","Q1 (Poorest)","","66.9 [62.6-71.0]","66.93920","62.60352","71.00504","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","MDA","Republic of Moldova","","WQ4","Q4","","66.9 [64.4-69.3]","66.86533","64.36518","69.27382","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","MDA","Republic of Moldova","","WQ1","Q1 (Poorest)","","55.5 [50.0-60.8]","55.49448","50.03427","60.82519","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","MDA","Republic of Moldova","","WQ2","Q2","","60.4 [56.4-64.3]","60.42386","56.37778","64.33209","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","MDA","Republic of Moldova","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AFR","Africa","","RWA","Rwanda","","WQ4","Q4","","3.9 [2.6-5.8]","3.88063","2.58087","5.79601","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AFR","Africa","","RWA","Rwanda","","WQ2","Q2","","10.7 [8.3-13.6]","10.67569","8.30100","13.62874","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AFR","Africa","","RWA","Rwanda","","WQ4","Q4","","25.2 [21.0-29.9]","25.19143","20.99208","29.91281","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","AFR","Africa","","RWA","Rwanda","","WQ5","Q5 (Richest)","","45.1 [39.7-50.6]","45.07638","39.68963","50.58107","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","RWA","Rwanda","","WQ4","Q4","","8.5 [6.9-10.3]","8.46190","6.89869","10.33998","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","RWA","Rwanda","","WQ5","Q5 (Richest)","","22.4 [19.6-25.5]","22.43084","19.60963","25.52903","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","RWA","Rwanda","","WQ1","Q1 (Poorest)","","21.6 [18.3-25.4]","21.63325","18.31936","25.36049","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","RWA","Rwanda","","WQ2","Q2","","28.9 [25.5-32.5]","28.86419","25.47178","32.51131","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","AFR","Africa","","RWA","Rwanda","","WQ2","Q2","","41.2 [38.5-44.0]","41.22585","38.52450","43.98111","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","AFR","Africa","","RWA","Rwanda","","WQ5","Q5 (Richest)","","49.6 [46.6-52.6]","49.56796","46.58804","52.55095","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","AFR","Africa","","RWA","Rwanda","","WQ2","Q2","","69.6 [66.3-72.7]","69.55216","66.26225","72.65366","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","AFR","Africa","","RWA","Rwanda","","WQ3","Q3","","75.2 [72.3-77.9]","75.22137","72.32285","77.90908","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","LCA","Saint Lucia","","WQ2","Q2","","49.1 [42.9-55.3]","49.09744","42.90345","55.31926","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","LCA","Saint Lucia","","WQ3","Q3","","51.1 [42.5-59.5]","51.06376","42.52999","59.53598","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AFR","Africa","","STP","Sao Tome and Principe","","WQ1","Q1 (Poorest)","","45.0 [37.2-53.1]","45.00229","37.15008","53.11167","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1997","1997","","AFR","Africa","","SEN","Senegal","","WQ1","Q1 (Poorest)","","1.0 [0.6-1.5]","0.95036","0.59244","1.52121","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2014","2014","","AFR","Africa","","SEN","Senegal","","WQ5","Q5 (Richest)","","31.7 [26.0-38.0]","31.67897","25.96059","38.01031","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EUR","Europe","","SRB","Serbia","","WQ3","Q3","","64.5 [59.6-69.1]","64.47359","59.55919","69.10062","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EUR","Europe","","SRB","Serbia","","WQ4","Q4","","62.2 [57.1-67.0]","62.15051","57.06860","66.97894","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2014","2014","","EUR","Europe","","SRB","Serbia","","WQ4","Q4","","61.7 [55.8-67.3]","61.72541","55.78352","67.33637","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2014","2014","","EUR","Europe","","SRB","Serbia","","WQ5","Q5 (Richest)","","55.7 [49.9-61.4]","55.73091","49.88480","61.42244","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SLE","Sierra Leone","","WQ1","Q1 (Poorest)","","2.0 [1.2-3.2]","1.98313","1.23851","3.16112","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SLE","Sierra Leone","","WQ2","Q2","","1.0 [0.6-1.8]","1.00543","0.57071","1.76541","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","AFR","Africa","","SLE","Sierra Leone","","WQ4","Q4","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AFR","Africa","","SLE","Sierra Leone","","WQ4","Q4","","8.9 [7.2-11.0]","8.91650","7.21784","10.96766","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AFR","Africa","","SLE","Sierra Leone","","WQ2","Q2","","3.5 [2.5-5.1]","3.53771","2.45126","5.08063","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AFR","Africa","","SLE","Sierra Leone","","WQ3","Q3","","4.6 [3.3-6.2]","4.55630","3.34456","6.17900","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ2","Q2","","12.7 [10.8-14.8]","12.67529","10.80134","14.82035","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ4","Q4","","21.1 [18.4-24.1]","21.08480","18.37772","24.07303","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ1","Q1 (Poorest)","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ3","Q3","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ALB","Albania","","WQ5","Q5 (Richest)","","65.5 [60.8-69.9]","65.48191","60.78953","69.89087","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ2","Q2","","8.9 [6.9-11.3]","8.88641","6.93822","11.31511","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ1","Q1 (Poorest)","","80.7 [76.4-84.3]","80.66817","76.38366","84.33481","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ3","Q3","","53.1 [50.0-56.2]","53.12623","49.99910","56.22900","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ5","Q5 (Richest)","","59.2 [56.1-62.3]","59.22046","56.05038","62.31562","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ5","Q5 (Richest)","","No data","","","","","","Not available."
